counter,date,time,date_time,total
06032013,2013-06-03,4:00:00 PM,2013-06-03T16:00:00Z,476
06032013,2013-06-03,5:00:00 PM,2013-06-03T17:00:00Z,578
06032013,2013-06-03,6:00:00 PM,2013-06-03T18:00:00Z,406
06032013,2013-06-03,7:00:00 PM,2013-06-03T19:00:00Z,272
06032013,2013-06-03,8:00:00 PM,2013-06-03T20:00:00Z,240
06032013,2013-06-03,9:00:00 PM,2013-06-03T21:00:00Z,96
06032013,2013-06-03,10:00:00 PM,2013-06-03T22:00:00Z,67
06032013,2013-06-03,11:00:00 PM,2013-06-03T23:00:00Z,37
06032013,2013-06-04,12:00:00 AM,2013-06-04T00:00:00Z,10
06032013,2013-06-04,1:00:00 AM,2013-06-04T01:00:00Z,11
06032013,2013-06-04,2:00:00 AM,2013-06-04T02:00:00Z,8
06032013,2013-06-04,3:00:00 AM,2013-06-04T03:00:00Z,9
06032013,2013-06-04,4:00:00 AM,2013-06-04T04:00:00Z,23
06032013,2013-06-04,5:00:00 AM,2013-06-04T05:00:00Z,83
06032013,2013-06-04,6:00:00 AM,2013-06-04T06:00:00Z,291
06032013,2013-06-04,7:00:00 AM,2013-06-04T07:00:00Z,532
06032013,2013-06-04,8:00:00 AM,2013-06-04T08:00:00Z,434
06032013,2013-06-04,9:00:00 AM,2013-06-04T09:00:00Z,326
06032013,2013-06-04,10:00:00 AM,2013-06-04T10:00:00Z,310
06032013,2013-06-04,11:00:00 AM,2013-06-04T11:00:00Z,292
06032013,2013-06-04,12:00:00 PM,2013-06-04T12:00:00Z,325
06032013,2013-06-04,1:00:00 PM,2013-06-04T13:00:00Z,350
06032013,2013-06-04,2:00:00 PM,2013-06-04T14:00:00Z,488
06032013,2013-06-04,3:00:00 PM,2013-06-04T15:00:00Z,498
06032013,2013-06-04,4:00:00 PM,2013-06-04T16:00:00Z,488
06032013,2013-06-04,5:00:00 PM,2013-06-04T17:00:00Z,512
06032013,2013-06-04,6:00:00 PM,2013-06-04T18:00:00Z,362
06032013,2013-06-04,7:00:00 PM,2013-06-04T19:00:00Z,260
06032013,2013-06-04,8:00:00 PM,2013-06-04T20:00:00Z,211
06032013,2013-06-04,9:00:00 PM,2013-06-04T21:00:00Z,120
06032013,2013-06-04,10:00:00 PM,2013-06-04T22:00:00Z,61
06032013,2013-06-04,11:00:00 PM,2013-06-04T23:00:00Z,44
06032013,2013-06-05,12:00:00 AM,2013-06-05T00:00:00Z,10
06032013,2013-06-05,1:00:00 AM,2013-06-05T01:00:00Z,7
06032013,2013-06-05,2:00:00 AM,2013-06-05T02:00:00Z,7
06032013,2013-06-05,3:00:00 AM,2013-06-05T03:00:00Z,7
06032013,2013-06-05,4:00:00 AM,2013-06-05T04:00:00Z,28
06032013,2013-06-05,5:00:00 AM,2013-06-05T05:00:00Z,86
06032013,2013-06-05,6:00:00 AM,2013-06-05T06:00:00Z,259
06032013,2013-06-05,7:00:00 AM,2013-06-05T07:00:00Z,554
06032013,2013-06-05,8:00:00 AM,2013-06-05T08:00:00Z,412
06032013,2013-06-05,9:00:00 AM,2013-06-05T09:00:00Z,314
06032013,2013-06-05,10:00:00 AM,2013-06-05T10:00:00Z,288
06032013,2013-06-05,11:00:00 AM,2013-06-05T11:00:00Z,346
06032013,2013-06-05,12:00:00 PM,2013-06-05T12:00:00Z,344
06032013,2013-06-05,1:00:00 PM,2013-06-05T13:00:00Z,346
06032013,2013-06-05,2:00:00 PM,2013-06-05T14:00:00Z,394
06032013,2013-06-05,3:00:00 PM,2013-06-05T15:00:00Z,445
06032013,2013-06-05,4:00:00 PM,2013-06-05T16:00:00Z,571
06032013,2013-06-05,5:00:00 PM,2013-06-05T17:00:00Z,518
06032013,2013-06-05,6:00:00 PM,2013-06-05T18:00:00Z,306
06032013,2013-06-05,7:00:00 PM,2013-06-05T19:00:00Z,333
06032013,2013-06-05,8:00:00 PM,2013-06-05T20:00:00Z,226
06032013,2013-06-05,9:00:00 PM,2013-06-05T21:00:00Z,110
06032013,2013-06-05,10:00:00 PM,2013-06-05T22:00:00Z,70
06032013,2013-06-05,11:00:00 PM,2013-06-05T23:00:00Z,40
