counter,date,time,date_time,total
61141010,2014-05-15,3:00:00 PM,2014-05-15T15:00:00Z,214
61141010,2014-05-15,4:00:00 PM,2014-05-15T16:00:00Z,200
61141010,2014-05-15,5:00:00 PM,2014-05-15T17:00:00Z,183
61141010,2014-05-15,6:00:00 PM,2014-05-15T18:00:00Z,113
61141010,2014-05-15,7:00:00 PM,2014-05-15T19:00:00Z,97
61141010,2014-05-15,8:00:00 PM,2014-05-15T20:00:00Z,71
61141010,2014-05-15,9:00:00 PM,2014-05-15T21:00:00Z,48
61141010,2014-05-15,10:00:00 PM,2014-05-15T22:00:00Z,25
61141010,2014-05-15,11:00:00 PM,2014-05-15T23:00:00Z,16
61141010,2014-05-16,12:00:00 AM,2014-05-16T00:00:00Z,10
61141010,2014-05-16,1:00:00 AM,2014-05-16T01:00:00Z,3
61141010,2014-05-16,2:00:00 AM,2014-05-16T02:00:00Z,6
61141010,2014-05-16,3:00:00 AM,2014-05-16T03:00:00Z,4
61141010,2014-05-16,4:00:00 AM,2014-05-16T04:00:00Z,13
61141010,2014-05-16,5:00:00 AM,2014-05-16T05:00:00Z,17
61141010,2014-05-16,6:00:00 AM,2014-05-16T06:00:00Z,63
61141010,2014-05-16,7:00:00 AM,2014-05-16T07:00:00Z,93
61141010,2014-05-16,8:00:00 AM,2014-05-16T08:00:00Z,148
61141010,2014-05-16,9:00:00 AM,2014-05-16T09:00:00Z,134
61141010,2014-05-16,10:00:00 AM,2014-05-16T10:00:00Z,151
61141010,2014-05-16,11:00:00 AM,2014-05-16T11:00:00Z,175
61141010,2014-05-16,12:00:00 PM,2014-05-16T12:00:00Z,184
61141010,2014-05-16,1:00:00 PM,2014-05-16T13:00:00Z,181
61141010,2014-05-16,2:00:00 PM,2014-05-16T14:00:00Z,237
61141010,2014-05-16,3:00:00 PM,2014-05-16T15:00:00Z,252
61141010,2014-05-16,4:00:00 PM,2014-05-16T16:00:00Z,230
61141010,2014-05-16,5:00:00 PM,2014-05-16T17:00:00Z,194
61141010,2014-05-16,6:00:00 PM,2014-05-16T18:00:00Z,203
61141010,2014-05-16,7:00:00 PM,2014-05-16T19:00:00Z,147
61141010,2014-05-16,8:00:00 PM,2014-05-16T20:00:00Z,117
61141010,2014-05-16,9:00:00 PM,2014-05-16T21:00:00Z,94
61141010,2014-05-16,10:00:00 PM,2014-05-16T22:00:00Z,54
61141010,2014-05-16,11:00:00 PM,2014-05-16T23:00:00Z,22
61141010,2014-05-17,12:00:00 AM,2014-05-17T00:00:00Z,13
61141010,2014-05-17,1:00:00 AM,2014-05-17T01:00:00Z,8
61141010,2014-05-17,2:00:00 AM,2014-05-17T02:00:00Z,6
61141010,2014-05-17,3:00:00 AM,2014-05-17T03:00:00Z,5
61141010,2014-05-17,4:00:00 AM,2014-05-17T04:00:00Z,8
61141010,2014-05-17,5:00:00 AM,2014-05-17T05:00:00Z,0
61141011,2014-05-12,12:00:00 PM,2014-05-12T12:00:00Z,144
61141011,2014-05-12,1:00:00 PM,2014-05-12T13:00:00Z,154
61141011,2014-05-12,2:00:00 PM,2014-05-12T14:00:00Z,122
61141011,2014-05-12,3:00:00 PM,2014-05-12T15:00:00Z,154
61141011,2014-05-12,4:00:00 PM,2014-05-12T16:00:00Z,143
61141011,2014-05-12,5:00:00 PM,2014-05-12T17:00:00Z,141
61141011,2014-05-12,6:00:00 PM,2014-05-12T18:00:00Z,82
61141011,2014-05-12,7:00:00 PM,2014-05-12T19:00:00Z,58
61141011,2014-05-12,8:00:00 PM,2014-05-12T20:00:00Z,39
61141011,2014-05-12,9:00:00 PM,2014-05-12T21:00:00Z,21
61141011,2014-05-12,10:00:00 PM,2014-05-12T22:00:00Z,12
61141011,2014-05-12,11:00:00 PM,2014-05-12T23:00:00Z,15
61141011,2014-05-13,12:00:00 AM,2014-05-13T00:00:00Z,4
61141011,2014-05-13,1:00:00 AM,2014-05-13T01:00:00Z,3
61141011,2014-05-13,2:00:00 AM,2014-05-13T02:00:00Z,7
61141011,2014-05-13,3:00:00 AM,2014-05-13T03:00:00Z,10
61141011,2014-05-13,4:00:00 AM,2014-05-13T04:00:00Z,15
61141011,2014-05-13,5:00:00 AM,2014-05-13T05:00:00Z,50
61141011,2014-05-13,6:00:00 AM,2014-05-13T06:00:00Z,106
61141011,2014-05-13,7:00:00 AM,2014-05-13T07:00:00Z,133
61141011,2014-05-13,8:00:00 AM,2014-05-13T08:00:00Z,168
61141011,2014-05-13,9:00:00 AM,2014-05-13T09:00:00Z,131
61141011,2014-05-13,10:00:00 AM,2014-05-13T10:00:00Z,123
61141011,2014-05-13,11:00:00 AM,2014-05-13T11:00:00Z,156
61141011,2014-05-13,12:00:00 PM,2014-05-13T12:00:00Z,135
61141011,2014-05-13,1:00:00 PM,2014-05-13T13:00:00Z,124
61141011,2014-05-13,2:00:00 PM,2014-05-13T14:00:00Z,137
61141011,2014-05-13,3:00:00 PM,2014-05-13T15:00:00Z,162
61141011,2014-05-13,4:00:00 PM,2014-05-13T16:00:00Z,143
61141011,2014-05-13,5:00:00 PM,2014-05-13T17:00:00Z,118
61141011,2014-05-13,6:00:00 PM,2014-05-13T18:00:00Z,81
61141011,2014-05-13,7:00:00 PM,2014-05-13T19:00:00Z,62
61141011,2014-05-13,8:00:00 PM,2014-05-13T20:00:00Z,31
61141011,2014-05-13,9:00:00 PM,2014-05-13T21:00:00Z,19
61141011,2014-05-13,10:00:00 PM,2014-05-13T22:00:00Z,19
61141011,2014-05-13,11:00:00 PM,2014-05-13T23:00:00Z,18
61141011,2014-05-14,12:00:00 AM,2014-05-14T00:00:00Z,6
61141011,2014-05-14,1:00:00 AM,2014-05-14T01:00:00Z,2
61141011,2014-05-14,2:00:00 AM,2014-05-14T02:00:00Z,4
61141011,2014-05-14,3:00:00 AM,2014-05-14T03:00:00Z,10
61141011,2014-05-14,4:00:00 AM,2014-05-14T04:00:00Z,14
61141011,2014-05-14,5:00:00 AM,2014-05-14T05:00:00Z,53
61141011,2014-05-14,6:00:00 AM,2014-05-14T06:00:00Z,116
61141011,2014-05-14,7:00:00 AM,2014-05-14T07:00:00Z,148
61141011,2014-05-14,8:00:00 AM,2014-05-14T08:00:00Z,156
61141011,2014-05-14,9:00:00 AM,2014-05-14T09:00:00Z,148
61141011,2014-05-14,10:00:00 AM,2014-05-14T10:00:00Z,109
61141011,2014-05-14,11:00:00 AM,2014-05-14T11:00:00Z,132
61141011,2014-05-14,12:00:00 PM,2014-05-14T12:00:00Z,136
61141011,2014-05-14,1:00:00 PM,2014-05-14T13:00:00Z,108
61141011,2014-05-14,2:00:00 PM,2014-05-14T14:00:00Z,139
61141011,2014-05-14,3:00:00 PM,2014-05-14T15:00:00Z,155
61141011,2014-05-14,4:00:00 PM,2014-05-14T16:00:00Z,138
61141011,2014-05-14,5:00:00 PM,2014-05-14T17:00:00Z,119
61141011,2014-05-14,6:00:00 PM,2014-05-14T18:00:00Z,97
61141011,2014-05-14,7:00:00 PM,2014-05-14T19:00:00Z,72
61141011,2014-05-14,8:00:00 PM,2014-05-14T20:00:00Z,38
61141011,2014-05-14,9:00:00 PM,2014-05-14T21:00:00Z,24
61141011,2014-05-14,10:00:00 PM,2014-05-14T22:00:00Z,25
61141011,2014-05-14,11:00:00 PM,2014-05-14T23:00:00Z,8
61141011,2014-05-15,12:00:00 AM,2014-05-15T00:00:00Z,5
61141011,2014-05-15,1:00:00 AM,2014-05-15T01:00:00Z,8
61141011,2014-05-15,2:00:00 AM,2014-05-15T02:00:00Z,7
61141011,2014-05-15,3:00:00 AM,2014-05-15T03:00:00Z,8
61141011,2014-05-15,4:00:00 AM,2014-05-15T04:00:00Z,15
61141011,2014-05-15,5:00:00 AM,2014-05-15T05:00:00Z,60
61141011,2014-05-15,6:00:00 AM,2014-05-15T06:00:00Z,101
61141011,2014-05-15,7:00:00 AM,2014-05-15T07:00:00Z,135
61141011,2014-05-15,8:00:00 AM,2014-05-15T08:00:00Z,167
61141011,2014-05-15,9:00:00 AM,2014-05-15T09:00:00Z,135
61141011,2014-05-15,10:00:00 AM,2014-05-15T10:00:00Z,147
61141011,2014-05-15,11:00:00 AM,2014-05-15T11:00:00Z,151
61141011,2014-05-15,12:00:00 PM,2014-05-15T12:00:00Z,136
61141011,2014-05-15,1:00:00 PM,2014-05-15T13:00:00Z,154
61141011,2014-05-15,2:00:00 PM,2014-05-15T14:00:00Z,133
61141011,2014-05-15,3:00:00 PM,2014-05-15T15:00:00Z,155
61141011,2014-05-15,4:00:00 PM,2014-05-15T16:00:00Z,156
61141011,2014-05-15,5:00:00 PM,2014-05-15T17:00:00Z,119
61141011,2014-05-15,6:00:00 PM,2014-05-15T18:00:00Z,101
61141011,2014-05-15,7:00:00 PM,2014-05-15T19:00:00Z,64
61141011,2014-05-15,8:00:00 PM,2014-05-15T20:00:00Z,52
61141011,2014-05-15,9:00:00 PM,2014-05-15T21:00:00Z,25
61141011,2014-05-15,10:00:00 PM,2014-05-15T22:00:00Z,21
61141011,2014-05-15,11:00:00 PM,2014-05-15T23:00:00Z,14
61141011,2014-05-16,12:00:00 AM,2014-05-16T00:00:00Z,4
61141011,2014-05-16,1:00:00 AM,2014-05-16T01:00:00Z,2
61141011,2014-05-16,2:00:00 AM,2014-05-16T02:00:00Z,4
61141011,2014-05-16,3:00:00 AM,2014-05-16T03:00:00Z,8
61141011,2014-05-16,4:00:00 AM,2014-05-16T04:00:00Z,13
61141011,2014-05-16,5:00:00 AM,2014-05-16T05:00:00Z,35
61141011,2014-05-16,6:00:00 AM,2014-05-16T06:00:00Z,126
61141011,2014-05-16,7:00:00 AM,2014-05-16T07:00:00Z,135
61141011,2014-05-16,8:00:00 AM,2014-05-16T08:00:00Z,177
61141011,2014-05-16,9:00:00 AM,2014-05-16T09:00:00Z,162
61141011,2014-05-16,10:00:00 AM,2014-05-16T10:00:00Z,143
61141011,2014-05-16,11:00:00 AM,2014-05-16T11:00:00Z,166
61141011,2014-05-16,12:00:00 PM,2014-05-16T12:00:00Z,155
61141011,2014-05-16,1:00:00 PM,2014-05-16T13:00:00Z,157
61141011,2014-05-16,2:00:00 PM,2014-05-16T14:00:00Z,156
61141011,2014-05-16,3:00:00 PM,2014-05-16T15:00:00Z,214
61141011,2014-05-16,4:00:00 PM,2014-05-16T16:00:00Z,152
61141011,2014-05-16,5:00:00 PM,2014-05-16T17:00:00Z,152
61141011,2014-05-16,6:00:00 PM,2014-05-16T18:00:00Z,124
61141011,2014-05-16,7:00:00 PM,2014-05-16T19:00:00Z,76
61141011,2014-05-16,8:00:00 PM,2014-05-16T20:00:00Z,47
61141011,2014-05-16,9:00:00 PM,2014-05-16T21:00:00Z,34
61141011,2014-05-16,10:00:00 PM,2014-05-16T22:00:00Z,30
61141011,2014-05-16,11:00:00 PM,2014-05-16T23:00:00Z,20
61141011,2014-05-17,12:00:00 AM,2014-05-17T00:00:00Z,2
61141011,2014-05-17,1:00:00 AM,2014-05-17T01:00:00Z,2
61141011,2014-05-17,2:00:00 AM,2014-05-17T02:00:00Z,2
61141011,2014-05-17,3:00:00 AM,2014-05-17T03:00:00Z,6
61141011,2014-05-17,4:00:00 AM,2014-05-17T04:00:00Z,1
61141011,2014-05-17,5:00:00 AM,2014-05-17T05:00:00Z,0
61357029,2014-05-12,9:00:00 AM,2014-05-12T09:00:00Z,255
61357029,2014-05-12,10:00:00 AM,2014-05-12T10:00:00Z,290
61357029,2014-05-12,11:00:00 AM,2014-05-12T11:00:00Z,271
61357029,2014-05-12,12:00:00 PM,2014-05-12T12:00:00Z,256
61357029,2014-05-12,1:00:00 PM,2014-05-12T13:00:00Z,234
61357029,2014-05-12,2:00:00 PM,2014-05-12T14:00:00Z,285
61357029,2014-05-12,3:00:00 PM,2014-05-12T15:00:00Z,302
61357029,2014-05-12,4:00:00 PM,2014-05-12T16:00:00Z,310
61357029,2014-05-12,5:00:00 PM,2014-05-12T17:00:00Z,295
61357029,2014-05-12,6:00:00 PM,2014-05-12T18:00:00Z,175
61357029,2014-05-12,7:00:00 PM,2014-05-12T19:00:00Z,137
61357029,2014-05-12,8:00:00 PM,2014-05-12T20:00:00Z,83
61357029,2014-05-12,9:00:00 PM,2014-05-12T21:00:00Z,57
61357029,2014-05-12,10:00:00 PM,2014-05-12T22:00:00Z,30
61357029,2014-05-12,11:00:00 PM,2014-05-12T23:00:00Z,12
61357029,2014-05-13,12:00:00 AM,2014-05-13T00:00:00Z,8
61357029,2014-05-13,1:00:00 AM,2014-05-13T01:00:00Z,8
61357029,2014-05-13,2:00:00 AM,2014-05-13T02:00:00Z,6
61357029,2014-05-13,3:00:00 AM,2014-05-13T03:00:00Z,19
61357029,2014-05-13,4:00:00 AM,2014-05-13T04:00:00Z,30
61357029,2014-05-13,5:00:00 AM,2014-05-13T05:00:00Z,103
61357029,2014-05-13,6:00:00 AM,2014-05-13T06:00:00Z,145
61357029,2014-05-13,7:00:00 AM,2014-05-13T07:00:00Z,215
61357029,2014-05-13,8:00:00 AM,2014-05-13T08:00:00Z,236
61357029,2014-05-13,9:00:00 AM,2014-05-13T09:00:00Z,222
61357029,2014-05-13,10:00:00 AM,2014-05-13T10:00:00Z,239
61357029,2014-05-13,11:00:00 AM,2014-05-13T11:00:00Z,241
61357029,2014-05-13,12:00:00 PM,2014-05-13T12:00:00Z,254
61357029,2014-05-13,1:00:00 PM,2014-05-13T13:00:00Z,251
61357029,2014-05-13,2:00:00 PM,2014-05-13T14:00:00Z,293
61357029,2014-05-13,3:00:00 PM,2014-05-13T15:00:00Z,304
61357029,2014-05-13,4:00:00 PM,2014-05-13T16:00:00Z,307
61357029,2014-05-13,5:00:00 PM,2014-05-13T17:00:00Z,269
61357029,2014-05-13,6:00:00 PM,2014-05-13T18:00:00Z,152
61357029,2014-05-13,7:00:00 PM,2014-05-13T19:00:00Z,99
61357029,2014-05-13,8:00:00 PM,2014-05-13T20:00:00Z,64
61357029,2014-05-13,9:00:00 PM,2014-05-13T21:00:00Z,48
61357029,2014-05-13,10:00:00 PM,2014-05-13T22:00:00Z,37
61357029,2014-05-13,11:00:00 PM,2014-05-13T23:00:00Z,13
61357029,2014-05-14,12:00:00 AM,2014-05-14T00:00:00Z,5
61357029,2014-05-14,1:00:00 AM,2014-05-14T01:00:00Z,8
61357029,2014-05-14,2:00:00 AM,2014-05-14T02:00:00Z,5
61357029,2014-05-14,3:00:00 AM,2014-05-14T03:00:00Z,13
61357029,2014-05-14,4:00:00 AM,2014-05-14T04:00:00Z,28
61357029,2014-05-14,5:00:00 AM,2014-05-14T05:00:00Z,99
61357029,2014-05-14,6:00:00 AM,2014-05-14T06:00:00Z,150
61357029,2014-05-14,7:00:00 AM,2014-05-14T07:00:00Z,211
61357029,2014-05-14,8:00:00 AM,2014-05-14T08:00:00Z,235
61357029,2014-05-14,9:00:00 AM,2014-05-14T09:00:00Z,239
61357029,2014-05-14,10:00:00 AM,2014-05-14T10:00:00Z,274
61357029,2014-05-14,11:00:00 AM,2014-05-14T11:00:00Z,255
61357029,2014-05-14,12:00:00 PM,2014-05-14T12:00:00Z,280
61357029,2014-05-14,1:00:00 PM,2014-05-14T13:00:00Z,243
61357029,2014-05-14,2:00:00 PM,2014-05-14T14:00:00Z,294
61357029,2014-05-14,3:00:00 PM,2014-05-14T15:00:00Z,329
61357029,2014-05-14,4:00:00 PM,2014-05-14T16:00:00Z,334
61357029,2014-05-14,5:00:00 PM,2014-05-14T17:00:00Z,248
61357029,2014-05-14,6:00:00 PM,2014-05-14T18:00:00Z,189
61357029,2014-05-14,7:00:00 PM,2014-05-14T19:00:00Z,117
61357029,2014-05-14,8:00:00 PM,2014-05-14T20:00:00Z,82
61357029,2014-05-14,9:00:00 PM,2014-05-14T21:00:00Z,67
61357029,2014-05-14,10:00:00 PM,2014-05-14T22:00:00Z,37
61357029,2014-05-14,11:00:00 PM,2014-05-14T23:00:00Z,21
61357029,2014-05-15,12:00:00 AM,2014-05-15T00:00:00Z,6
61357029,2014-05-15,1:00:00 AM,2014-05-15T01:00:00Z,2
61357029,2014-05-15,2:00:00 AM,2014-05-15T02:00:00Z,11
61357029,2014-05-15,3:00:00 AM,2014-05-15T03:00:00Z,16
61357029,2014-05-15,4:00:00 AM,2014-05-15T04:00:00Z,28
61357029,2014-05-15,5:00:00 AM,2014-05-15T05:00:00Z,103
61357029,2014-05-15,6:00:00 AM,2014-05-15T06:00:00Z,151
61357029,2014-05-15,7:00:00 AM,2014-05-15T07:00:00Z,223
