GDSNAME,STATION,AREA,PERIMETER,COUNTERS,COUNTERSI,COUNTER,TYPE,Group,TYPE1,Cycle,CNTRNUM,Town,Location,OBJECTID1,UNIQUEID,SRI,MPSTART,MPEND,STREET,TOWNID,TOWNDOT,SECTLENGT,FUNCTSYST,FUNCTSY_1,URBANID,URBANNAME,TIER,TIERDESCR,LCLEGEND,LEGISCLAS,WINTERMAI,SUMMERMAI,OWNERSHIP,OWNERSHIP,HPMSOWNER,HPMSOWN_1,PLOWLEVEL,SURFTYPE,ROADWAYWI,NUMLANES,LANEWIDTH,SHLDRTYPE,SHLDRTY_1,SHLDRWIDT,SHLDRWI_1,DIRECTION,ISTOLL,ISNHS,NHS,NHSDESCR,ISTRK_ROU,COUNTYID,COUNTYNAM,EXECCOUNC,EXECCOU_1,COUNTERID,AADTCURR_,AADT,ROUTEHIOR,STREETALI,NODE1,NODE2,HPMSFACIL,HPMSFAC_1,HPMSTHRU_,COMBNUMS
CNTR:111061,111061,0,0,3842,3842,82111061,82,2015,L4,2,82111061,DANBURY,WALKER BROOK RD OVER WALKER BROOK,0,15777,N1110050__,0,0.363,Walker Brook Rd,111,DANBURY,0.363,7,Local,0,NA,4,Local Connectors,State,II,TOWN,210,210,DISTRICT 2,1,State Highway Agency,0,Paved,18,2,9,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,82111061,2014,117,NA,NA,0017,0015,2,Two-way roadway,2,82111061
CNTR:111062,111062,0,0,3843,3843,82111062,82,2015,L4,2,82111062,DANBURY,FRAZIER RD OVER FRAZIER BROOK,0,32446,L1110054__,0,0.689,Frazier Rd,111,DANBURY,0.689,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,20,2,10,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,82111062,2014,78,NA,NA,6074,0014,2,Two-way roadway,2,82111062
CNTR:111060,111060,0,0,3844,3844,82111060,82,2015,L4,2,82111060,DANBURY,WALKER BROOK RD WEST OF STEWART RD,0,30877,L1110050__,0,0.506,Walker Brook Rd,111,DANBURY,0.506,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,20,2,10,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,82111060,2014,68,NA,NA,6072,0025,2,Two-way roadway,2,82111060
CNTR:111051,111051,0,0,3845,3845,82111051,82,2015,L4,2,82111051,DANBURY,US 4 SOUTH OF NH 104,0,55672,U0000004__,31.622,32.012,US Route 4,111,DANBURY,0.39,5,Major Collector,0,NA,2,Statewide Corridors - Other,State,I,210,206,206,DISTRICT 2,1,State Highway Agency,2,Paved,22,2,11,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,82111051,2014,2178,US 4,US 4,0104,0062,2,Two-way roadway,2,82111051
CNTR:111059,111059,0,0,3846,3846,82111059,82,2015,L4,2,82111059,DANBURY,RAGGED MOUNTAIN RD OVER BOG POND,0,39052,L1110079__,2.052,2.33,Ragged Mountain Rd,111,DANBURY,0.278,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,20,2,10,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,82111059,2014,175,NA,NA,0045,0044,2,Two-way roadway,2,82111059
CNTR:111058,111058,0,0,3847,3847,82111058,82,2015,L4,2,82111058,DANBURY,EASTERN DISTRICT RD OVER SMITH RIVER,0,44529,L1110053__,1.098,1.441,Eastern District Rd,111,DANBURY,0.343,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,20,2,10,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,82111058,2014,156,NA,NA,0140,0152,2,Two-way roadway,2,82111058
CNTR:163077:706,163077,0,0,3848,3848,82163077,82,2014,L4,1,82163077,FRANKLIN,KENDALL ST SOUTH OF SANBORN ST,0,49892,L1630241__,0.048,0.183,Kendall St,163,FRANKLIN,0.135,5,Major Collector,31330,Tilton,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,4,City or Municipal Highway Agency,0,Paved,24,2,11,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163077,2014,1600,NA,NA,0349,0348,2,Two-way roadway,2,82163077
CNTR:163057:706,163057,0,0,3849,3849,82163057,82,0,NA,0,82163057,FRANKLIN,NA,0,19614,L1630096__,0.403,0.467,Sanborn St,163,FRANKLIN,0.064,5,Major Collector,31330,Tilton,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,4,City or Municipal Highway Agency,0,Paved,24,2,12,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163058,2014,2500,NA,NA,0202,0353,2,Two-way roadway,2,82163057
CNTR:163085:706,163085,0,0,3850,3850,82163085,82,2015,L4,2,82163085,FRANKLIN,CARR ST OVER CHANCE POND BROOK,0,56484,L1630318__,0,0.085,Carr St,163,FRANKLIN,0.085,7,Local,31330,Tilton,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,4,City or Municipal Highway Agency,0,Paved,20,2,10,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163085,2014,117,NA,NA,0304,0936,2,Two-way roadway,2,82163085
CNTR:163075:706,163075,0,0,3851,3851,82163075,82,2015,L3,2,82163075,FRANKLIN,NH 11 (WEBSTER LAKE RD) WEST OF WEBSTER AVE (EB-WB) (81163030-81163031),0,42620,S0000011__,53.337,53.508,Webster Lake Rd,163,FRANKLIN,0.171,4,Minor Arterial,31330,Tilton,2,Statewide Corridors - Other,State,I,211,211,211,DISTRICT 2,1,State Highway Agency,2,Paved,32,2,11,Paved,Paved,5,5,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163075,2014,3237,NH 11,NH 11,0328,0321,2,Two-way roadway,2,82163075
CNTR:163075:706,163075,0,0,3851,3851,82163075,82,2015,L3,2,82163075,FRANKLIN,NH 11 (WEBSTER LAKE RD) WEST OF WEBSTER AVE (EB-WB) (81163030-81163031),0,42620,S0000011__,53.337,53.508,Webster Lake Rd,163,FRANKLIN,0.171,4,Minor Arterial,31330,Tilton,2,Statewide Corridors - Other,State,I,211,211,211,DISTRICT 2,1,State Highway Agency,2,Paved,32,2,11,Paved,Paved,5,5,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163075,2014,3237,NH 11,NH 11,0328,0321,2,Two-way roadway,2,81163031
CNTR:163075:706,163075,0,0,3851,3851,82163075,82,2015,L3,2,82163075,FRANKLIN,NH 11 (WEBSTER LAKE RD) WEST OF WEBSTER AVE (EB-WB) (81163030-81163031),0,42620,S0000011__,53.337,53.508,Webster Lake Rd,163,FRANKLIN,0.171,4,Minor Arterial,31330,Tilton,2,Statewide Corridors - Other,State,I,211,211,211,DISTRICT 2,1,State Highway Agency,2,Paved,32,2,11,Paved,Paved,5,5,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163075,2014,3237,NH 11,NH 11,0328,0321,2,Two-way roadway,2,81163030
CNTR:163076:706,163076,0,0,3852,3852,82163076,82,2014,L4,1,82163076,FRANKLIN,NH 3A (HILL RD) SOUTH OF GRIFFIN RD,0,66167,S0000003A_,101.485,102.165,Hill Rd,163,FRANKLIN,0.68,5,Major Collector,0,NA,3,Regional Corridors,State,I,211,211,211,DISTRICT 2,1,State Highway Agency,3,Paved,24,2,12,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163076,2014,3100,NH 3A,NH 3A,1059,0409,2,Two-way roadway,2,82163076
CNTR:163083:706,163083,0,0,3853,3853,82163083,82,2014,L3,1,82163083,FRANKLIN,NH 3A (HILL RD) NORTH OF GRIFFIN RD (SB-NB) (81163024-81163025),0,18719,S0000003A_,102.165,103.088,Hill Rd,163,FRANKLIN,0.923,5,Major Collector,0,NA,3,Regional Corridors,State,I,211,211,211,DISTRICT 2,1,State Highway Agency,3,Paved,24,2,12,Unpaved,Unpaved,3,3,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163083,2014,3000,NH 3A,NH 3A,0409,0430,2,Two-way roadway,2,82163083
CNTR:163083:706,163083,0,0,3853,3853,82163083,82,2014,L3,1,82163083,FRANKLIN,NH 3A (HILL RD) NORTH OF GRIFFIN RD (SB-NB) (81163024-81163025),0,18719,S0000003A_,102.165,103.088,Hill Rd,163,FRANKLIN,0.923,5,Major Collector,0,NA,3,Regional Corridors,State,I,211,211,211,DISTRICT 2,1,State Highway Agency,3,Paved,24,2,12,Unpaved,Unpaved,3,3,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163083,2014,3000,NH 3A,NH 3A,0409,0430,2,Two-way roadway,2,81163025
CNTR:163083:706,163083,0,0,3853,3853,82163083,82,2014,L3,1,82163083,FRANKLIN,NH 3A (HILL RD) NORTH OF GRIFFIN RD (SB-NB) (81163024-81163025),0,18719,S0000003A_,102.165,103.088,Hill Rd,163,FRANKLIN,0.923,5,Major Collector,0,NA,3,Regional Corridors,State,I,211,211,211,DISTRICT 2,1,State Highway Agency,3,Paved,24,2,12,Unpaved,Unpaved,3,3,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163083,2014,3000,NH 3A,NH 3A,0409,0430,2,Two-way roadway,2,81163024
CNTR:163084,163084,0,0,3854,3854,82163084,82,2015,L4,2,82163084,FRANKLIN,LAKE SHORE DRIVE OVER SUCKER BROOK,0,13030,N1630052__,0.027,0.628,Lake Shore Dr,163,FRANKLIN,0.601,7,Local,31330,Tilton,4,Local Connectors,State,II,TOWN,211,211,DISTRICT 2,1,State Highway Agency,0,Paved,24,2,12,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163084,2014,262,NA,NA,0412,0422,2,Two-way roadway,2,82163084
CNTR:163067,163067,0,0,3855,3855,82163067,82,0,NA,0,82163067,FRANKLIN,NA,0,23352,L1630129__,0,0.067,Lake Shore Dr,163,FRANKLIN,0.067,7,Local,31330,Tilton,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,4,City or Municipal Highway Agency,0,Paved,16,2,8,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,NA,0,0,NA,NA,0412,0411,2,Two-way roadway,2,82163067
CNTR:163063:706,163063,0,0,3856,3856,82163063,82,2014,L4,1,82163063,FRANKLIN,NH 127 (NEW HAMPTON RD) NORTH OF WARD HILL RD,0,18588,S0000127__,26.005,26.272,New Hampton Rd,163,FRANKLIN,0.267,4,Minor Arterial,31330,Tilton,5,Local Roads,State,IV,TOWN,TOWN,TOWN,TOWN,4,City or Municipal Highway Agency,0,Paved,24,2,12,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163063,2014,2700,NH 127,NH 127,0362,0387,2,Two-way roadway,2,82163063
CNTR:163081:706,163081,0,0,3857,3857,82163081,82,2014,L4,1,82163081,FRANKLIN,BABBIT RD EAST OF NH 127,0,133283,L1630287__,0.442,0.628,Babbitt Rd,163,FRANKLIN,0.186,5,Major Collector,31330,Tilton,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,4,City or Municipal Highway Agency,0,Paved,22,2,11,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82163081,2014,1000,NA,NA,1071,0357,2,Two-way roadway,2,82163081
CNTR:163022:706,163022,0,0,3858,3858,22163022,22,2015,L4,2,22163022,FRANKLIN,NH 3A (HILL RD) SOUTH OF LINCOLN ST,0,133291,L1630333__,0,0.048,Lincoln St,163,FRANKLIN,0.048,7,Local,31330,Tilton,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,4,City or Municipal Highway Agency,0,Paved,18,2,9,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,NA,0,0,NA,NA,0375,0990,2,Two-way roadway,2,22163022
CNTR:163021:706,163021,0,0,3859,3859,22163021,22,2015,L4,2,22163021,FRANKLIN,NH 11 (WEBSTER LAKE RD) WEST OF NH 3A,0,17701,S0000011__,54.414,54.504,Webster Lake Rd,163,FRANKLIN,0.09,4,Minor Arterial,31330,Tilton,2,Statewide Corridors - Other,State,I,211,211,211,DISTRICT 2,1,State Highway Agency,3,Paved,27,2,10,Paved,Paved,4,3,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,22163021,2014,4450,NH 11,NH 11,0372,0383,2,Two-way roadway,2,22163021
CNTR:163072:706,163072,0,0,3860,3860,82163072,82,0,NA,0,82163072,FRANKLIN,NA,0,26215,L1630284__,0.227,0.347,Freedom Dr,163,FRANKLIN,0.12,7,Local,31330,Tilton,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,4,City or Municipal Highway Agency,0,Paved,22,2,11,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,NA,0,0,NA,NA,0331,0227,2,Two-way roadway,2,82163072
CNTR:215050,215050,0,0,3861,3861,62215050,62,2015,L4,2,62215050,HILL,NH 3A AT FRANKLIN TL,0,18688,S0000003A_,105.996,106.264,Hill Rd,163,FRANKLIN,0.268,5,Major Collector,0,NA,3,Regional Corridors,State,I,211,211,211,DISTRICT 2,1,State Highway Agency,3,Paved,24,2,12,Unpaved,Unpaved,3,3,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,62215050,2014,2800,NH 3A,NH 3A,0957,6046,2,Two-way roadway,2,62215050
CNTR:215053,215053,0,0,3862,3862,82215053,82,2015,L4,2,82215053,HILL,BUNKER HILL RD OVER NEEDLE SHOP BROOK,0,13491,L2150062__,1.387,2.05,Bunker Hill Rd,215,HILL,0.663,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,20,2,10,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,82215053,2014,97,NA,NA,0022,0026,2,Two-way roadway,2,82215053
CNTR:215052,215052,0,0,3863,3863,82215052,82,2015,L4,0,82215052,HILL,MURRAY HILL RD EAST OF STONE HOUSE RD,0,56063,L2150050__,0,1.232,Murray Hill Rd,215,HILL,1.232,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,18,2,9,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,82215051,2014,321,NA,NA,0079,0292,2,Two-way roadway,2,82215052
CNTR:403051,403051,0,0,3864,3864,82403051,82,2013,L5,3,82403051,SANBORNTON,NH 127 (NEW HAMPTON RD) SB-NB AT FRANKLIN TL,0,21613,S0000127__,28.005,28.817,New Hampton Rd,403,SANBORNTON,0.812,5,Major Collector,0,NA,3,Regional Corridors,State,II,313,211,211,DISTRICT 2,1,State Highway Agency,4,Paved,22,2,11,Unpaved,Unpaved,4,4,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,82403051,2014,2300,NH 127,NH 127,8264,0068,2,Two-way roadway,2,82403051
CNTR:403051,403051,0,0,3864,3864,82403051,82,2013,L5,3,82403051,SANBORNTON,NH 127 (NEW HAMPTON RD) SB-NB AT FRANKLIN TL,0,21613,S0000127__,28.005,28.817,New Hampton Rd,403,SANBORNTON,0.812,5,Major Collector,0,NA,3,Regional Corridors,State,II,313,211,211,DISTRICT 2,1,State Highway Agency,4,Paved,22,2,11,Unpaved,Unpaved,4,4,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,82403051,2014,2300,NH 127,NH 127,8264,0068,2,Two-way roadway,2,81403011
CNTR:403051,403051,0,0,3864,3864,82403051,82,2013,L5,3,82403051,SANBORNTON,NH 127 (NEW HAMPTON RD) SB-NB AT FRANKLIN TL,0,21613,S0000127__,28.005,28.817,New Hampton Rd,403,SANBORNTON,0.812,5,Major Collector,0,NA,3,Regional Corridors,State,II,313,211,211,DISTRICT 2,1,State Highway Agency,4,Paved,22,2,11,Unpaved,Unpaved,4,4,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,82403051,2014,2300,NH 127,NH 127,8264,0068,2,Two-way roadway,2,81403010
CNTR:403059,403059,0,0,3865,3865,82403059,82,2013,L4,3,82403059,SANBORNTON,PRESCOTT RD OVER SALMON BROOK,0,34116,L4030073__,0,0.055,Prescott Rd,403,SANBORNTON,0.055,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,22,2,11,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,82403059,2014,1100,NA,NA,0068,0069,2,Two-way roadway,2,82403059
CNTR:483051,483051,0,0,3869,3869,82483051,82,0,NA,0,82483051,NA,NA,0,4687,U0000004__,37.001,37.04,Depot St,015,ANDOVER,0.039,5,Major Collector,0,NA,2,Statewide Corridors - Other,State,I,210,210,210,DISTRICT 2,1,State Highway Agency,2,Paved,40,2,12,Paved,Paved,8,8,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,62111052,2014,2178,US 4,US 4,6031,0204,2,Two-way roadway,2,82483051
CNTR:011086,011086,0,0,3871,3871,82011086,82,0,NA,0,82011086,ALTON,NA,0,41844,S0000011_W,6,6.115,Wolfeboro Hwy,011,ALTON,0.115,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,315,315,315,DISTRICT 3,1,State Highway Agency,2,Paved,32,1,10,Paved,Paved,8,14,One way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,TrafficCircle,0,0,NH 11 WB,NH 11 WB,0154,0155,6,Non inventory direction,0,82011086
CNTR:011089,011089,0,0,3872,3872,82011089,82,2015,L6,2,82011089,ALTON,NEW DURHAM RD NORTH OF NH 11/28,0,28942,L0110115__,0.072,0.8,New Durham Rd,011,ALTON,0.728,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,20,2,10,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,82011089,2014,944,NA,NA,0157,1216,2,Two-way roadway,2,82011089
CNTR:011082,011082,0,0,3873,3873,82011082,82,2015,L4,2,82011082,ALTON,NH 28A (EAST SIDE DR) SOUTH OF FALLS BROOK,0,143713,S0000028A_,101.75,101.937,East Side Dr,011,ALTON,0.187,6,Minor Collector,0,NA,4,Local Connectors,State,II,315,315,315,DISTRICT 3,1,State Highway Agency,4,Paved,26,2,11,None,None,2,2,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,82011082,2014,1481,NH 28A,NH 28A,1360,1261,2,Two-way roadway,2,82011082
CNTR:011074,011074,0,0,3874,3874,82011074,82,0,NA,0,82011074,ALTON,NA,0,143675,S0000011__,88.392,88.506,Main St,011,ALTON,0.114,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,315,315,315,DISTRICT 3,1,State Highway Agency,2,Paved,26,2,12,Paved,Paved,1,1,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,82011081,2014,7200,NH 11,NH 11,0750,0190,2,Two-way roadway,2,82011074
CNTR:011090,011090,0,0,3875,3875,82011090,82,2015,L4,2,82011090,ALTON,NH 11 (MAIN ST) OVER MERRYMEETING RIVER,0,72525,S0000011__,87.932,88.031,Main St,011,ALTON,0.099,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,315,315,315,DISTRICT 3,1,State Highway Agency,2,Paved,28,2,11,Paved,Paved,3,3,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,82011090,2014,8459,NH 11,NH 11,0199,1304,2,Two-way roadway,2,82011090
CNTR:011087,011087,0,0,3876,3876,82011087,82,0,NA,0,82011087,ALTON,NA,0,38762,L0110082__,0.412,0.705,Bay Hill Rd,011,ALTON,0.293,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,20,2,10,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,NA,0,0,NA,NA,0204,0233,2,Two-way roadway,2,82011087
CNTR:011054,011054,0,0,3877,3877,82011054,82,0,NA,0,82011054,ALTON,NA,0,38891,L0110050__,1.517,1.899,Old Wolfeboro Rd,011,ALTON,0.382,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,22,2,11,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,NA,0,0,NA,NA,0849,0237,2,Two-way roadway,2,82011054
CNTR:011081,011081,0,0,3878,3878,82011081,82,2014,L4,1,82011081,ALTON,NH 11 (MAIN ST) NORTH OF NH 140,0,143672,L0110252__,0,0.05,Old Wolfeboro Rd,011,ALTON,0.05,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,22,2,11,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,NA,0,0,NA,NA,0179,1380,2,Two-way roadway,2,82011081
CNTR:011083,011083,0,0,3879,3879,82011083,82,2014,L4,1,82011083,ALTON,NH 140 (FRANK C GILMAN HWY) WEST OF MOONEY ST,0,17975,S0000140__,20.923,21.046,Frank C Gilman Hwy,011,ALTON,0.123,5,Major Collector,0,NA,3,Regional Corridors,State,II,315,315,315,DISTRICT 3,1,State Highway Agency,3,Paved,20,2,10,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,82011083,2014,2000,NH 140,NH 140,0171,0174,2,Two-way roadway,2,82011083
CNTR:011084,011084,0,0,3880,3880,22011084,22,2015,L4,2,22011084,ALTON,NH 28 (WOLFEBORO HWY) NORTH OF NH 11,0,143670,S0000028__,63.805,64.14,Wolfeboro Hwy,011,ALTON,0.335,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,315,315,315,DISTRICT 3,1,State Highway Agency,2,Paved,32,2,12,Paved,Paved,4,4,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,22011084,2014,6625,NH 28,NH 28,0162,0746,2,Two-way roadway,2,22011084
CNTR:011088,011088,0,0,3881,3881,82011088,82,0,NA,0,82011088,ALTON,NA,0,12847,S0000011__,89.736,89.797,Henry Wilson Hwy,011,ALTON,0.061,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,315,315,315,DISTRICT 3,1,State Highway Agency,2,Paved,20,1,13,Paved,Paved,3,4,One way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,82011081,2014,7200,NA,NA,0160,0161,2,Two-way roadway,2,82011088
CNTR:011055,011055,0,0,3882,3882,82011055,82,2014,L4,1,82011055,ALTON,ALTON MOUNTAIN RD AT WATSON BROOK,0,72523,L0110077__,0,0.924,Alton Mountain Rd,011,ALTON,0.924,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,22,2,11,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,1,Dist 1 - Joeseph D. Kenney,82011055,2014,520,NA,NA,0213,0211,2,Two-way roadway,2,82011055
CNTR:039058,039058,0,0,3883,3883,82039058,82,2015,L4,2,82039058,BELMONT,UNION RD OVER DURGIN BROOK,0,133518,L0390069__,0.899,1.047,Union Rd,039,BELMONT,0.148,7,Local,45856,Laconia,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,24,2,12,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82039058,2014,1866,NA,NA,0157,0154,2,Two-way roadway,2,82039058
CNTR:039057,039057,0,0,3884,3884,82039057,82,0,NA,0,82039057,BELMONT,NA,0,42808,L0390070__,0.032,0.15,Tucker Shore Rd,039,BELMONT,0.118,7,Local,45856,Laconia,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,24,2,12,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,NA,0,0,NA,NA,0163,0164,2,Two-way roadway,2,82039057
CNTR:039064,039064,0,0,3885,3885,82039064,82,2015,L4,2,82039064,BELMONT,BROWN HILL RD OVER TIOGA RIVER,0,52584,L0390086__,0.594,0.884,Brown Hill Rd,039,BELMONT,0.29,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,18,2,9,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82039064,2014,1180,NA,NA,0291,0274,2,Two-way roadway,2,82039064
CNTR:039051,039051,0,0,3886,3886,82039051,82,2014,L4,1,82039051,BELMONT,NH 107 (PROVINCE RD) SOUTH OF MIDDLE ROUTE RD,0,18459,S0000107__,61.699,62.247,Province Rd,039,BELMONT,0.548,5,Major Collector,0,NA,3,Regional Corridors,State,II,314,314,314,DISTRICT 3,1,State Highway Agency,3,Paved,32,2,11,Unpaved,Unpaved,5,5,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82039051,2014,2500,NH 107,NH 107,0118,0121,2,Two-way roadway,2,82039051
CNTR:171055,171055,0,0,3887,3887,62171055,62,2013,L4,3,62171055,GILMANTON,NH 107 (PROVINCE RD) AT BELMONT TL,0,55821,S0000107__,60.577,60.696,Province Rd,039,BELMONT,0.119,5,Major Collector,0,NA,3,Regional Corridors,State,II,314,314,314,DISTRICT 3,1,State Highway Agency,3,Paved,32,2,11,Paved,Paved,5,5,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,62171055,2014,2300,NH 107,NH 107,6281,0270,2,Two-way roadway,2,62171055
