GDSNAME,STATION,AREA,PERIMETER,COUNTERS,COUNTERSI,COUNTER,TYPE,Group,TYPE1,Cycle,CNTRNUM,Town,Location,OBJECTID1,UNIQUEID,SRI,MPSTART,MPEND,STREET,TOWNID,TOWNDOT,SECTLENGT,FUNCTSYST,FUNCTSY_1,URBANID,URBANNAME,TIER,TIERDESCR,LCLEGEND,LEGISCLAS,WINTERMAI,SUMMERMAI,OWNERSHIP,OWNERSHIP,HPMSOWNER,HPMSOWN_1,PLOWLEVEL,SURFTYPE,ROADWAYWI,NUMLANES,LANEWIDTH,SHLDRTYPE,SHLDRTY_1,SHLDRWIDT,SHLDRWI_1,DIRECTION,ISTOLL,ISNHS,NHS,NHSDESCR,ISTRK_ROU,COUNTYID,COUNTYNAM,EXECCOUNC,EXECCOU_1,COUNTERID,AADTCURR_,AADT,ROUTEHIOR,STREETALI,NODE1,NODE2,HPMSFACIL,HPMSFAC_1,HPMSTHRU_,COMBNUMS
CNTR:025083,025083,0,0,3599,3599,82025083,82,2014,L4,1,82025083,BARNSTEAD,PARADE HILL RD OVER SUNCOOK RIVER,0,31514,N0250050__,0.005,0.128,Parade Hill Rd,025,BARNSTEAD,0.123,7,Local,0,NA,4,Local Connectors,State,II,TOWN,315,315,DISTRICT 3,1,State Highway Agency,0,Paved,20,2,10,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82025083,2014,390,NA,NA,0034,0037,2,Two-way roadway,2,82025083
CNTR:025080,025080,0,0,3600,3600,82025080,82,0,NA,0,82025080,BARNSTEAD,NA,0,20020,L0250066__,1.35,2.334,Beauty Hill Rd,025,BARNSTEAD,0.984,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Unpaved,10,1,10,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,NA,0,0,NA,NA,0953,0050,2,Two-way roadway,1,82025080
CNTR:163052,163052,0,0,3645,3645,62163052,62,2015,L4,2,62163052,FRANKLIN,US 3 (DANIEL WEBSTER HWY) AT BOSCAWEN TL,0,133321,U0000003__,57.06,57.616,S Main St,163,FRANKLIN,0.556,5,Major Collector,0,NA,2,Statewide Corridors - Other,State,I,211,211,211,DISTRICT 2,1,State Highway Agency,2,Paved,26,2,11,Combo,Combo,5,5,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,62163052,2014,3763,US 3,US 3,6122,0964,2,Two-way roadway,2,62163052
CNTR:171054,171054,0,0,3646,3646,82171054,82,2013,L6,3,82171054,GILMANTON,NH 129 (OLD STAGE RD) AT LOUDON TL,0,144914,S0000129__,7.311,7.428,NH Route 129,171,GILMANTON,0.117,6,Minor Collector,0,NA,3,Regional Corridors,State,II,316,316,316,DISTRICT 3,1,State Highway Agency,4,Paved,20,2,10,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82171054,2014,970,NH 129,NH 129,8297,0220,2,Two-way roadway,2,82171054
CNTR:271051,271051,0,0,3649,3649,62271051,62,0,NA,0,62271051,NA,NA,0,96111,S0000106__,16.219,16.37,NH Route 106,171,GILMANTON,0.151,3,Principal Arterial - Other,0,NA,2,Statewide Corridors - Other,State,I,316,316,316,DISTRICT 3,1,State Highway Agency,2,Paved,44,2,12,Paved,Paved,10,10,Two way,NO,YES,1,Non-Connector NHS,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,62271051,2014,7900,NH 106,NH 106,8301,0452,2,Two-way roadway,2,62271051
CNTR:343044,343044,0,0,3654,3654,82343044,82,2015,L4,2,82343044,NORTHFIELD,SANDOGARDY POND RD SOUTH OF SHAW RD,0,58209,N3430052__,1.315,1.901,Sandogardy Pond Rd,343,NORTHFIELD,0.586,7,Local,0,NA,4,Local Connectors,State,II,TOWN,313,313,DISTRICT 3,1,State Highway Agency,0,Paved,18,2,9,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82343044,2014,265,NA,NA,0005,0016,2,Two-way roadway,2,82343044
CNTR:343064,343064,0,0,3655,3655,82343064,82,2013,L4,3,82343064,NORTHFIELD,OAK HILL RD SOUTH OF UNION RD,0,50215,L3430062__,0.771,1.231,Oak Hill Rd,343,NORTHFIELD,0.46,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,24,2,12,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82343064,2014,230,NA,NA,0007,0017,2,Two-way roadway,2,82343064
CNTR:343002:SB,343002,0,0,3656,3656,61343002,61,0,NA,0,61343002,NA,NA,0,53652,I0000093_S,80.485,80.941,Interstate 93 S,343,NORTHFIELD,0.456,1,Interstate,0,NA,1,Statewide Corridors - Divided Highways,State,I,525,525,525,DISTRICT 5,1,State Highway Agency,1,Paved,38,2,12,Paved,Paved,4,10,One way,NO,YES,1,Non-Connector NHS,YES,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,61343002,2014,16000,I-93 SB,I-93 SB,0487,6096,6,Non inventory direction,0,61343002
CNTR:343001:NB,343001,0,0,3657,3657,61343001,61,0,NA,0,61343001,NA,NA,0,134128,I0000093__,50.513,50.81,Interstate 93 N,073,CANTERBURY,0.297,1,Interstate,0,NA,1,Statewide Corridors - Divided Highways,State,I,525,525,525,DISTRICT 5,1,State Highway Agency,1,Paved,38,2,12,Paved,Paved,4,10,One way,NO,YES,1,Non-Connector NHS,YES,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,61343001,2014,16000,NA,NA,0155,6097,2,Two-way roadway,4,61343001
CNTR:343061,343061,0,0,3658,3658,81343061,81,0,NA,0,81343061,NA,NA,0,53652,I0000093_S,80.485,80.941,Interstate 93 S,343,NORTHFIELD,0.456,1,Interstate,0,NA,1,Statewide Corridors - Divided Highways,State,I,525,525,525,DISTRICT 5,1,State Highway Agency,1,Paved,38,2,12,Paved,Paved,4,10,One way,NO,YES,1,Non-Connector NHS,YES,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,61343002,2014,16000,I-93 SB,I-93 SB,0487,6096,6,Non inventory direction,0,81343061
